,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2010-02-01,22012.0,3762.01001,5654.47998,1089.189941,10995.200195,2793.290039
2010-02-02,22413.699219,3812.1298829999996,5709.660156,1103.319946,11140.900391,2830.01001
2010-02-03,22169.199219,3793.469971,5672.089844,1097.280029,10888.400391,2804.610107
2010-02-04,21404.800781,3689.25,5533.240234000001,1063.109985,10241.700195,2707.449951
2010-02-05,20815.900391,3563.76001,5434.339844,1066.189941,10103.299805,2631.639893
2010-02-08,20938.199219,3607.2700200000004,5484.850098,1056.73999,10206.299805,2664.290039
2010-02-09,20819.0,3612.76001,5498.259765999999,1070.52002,10275.400391,2668.429932
2010-02-10,21241.599609,3635.610107,5536.370117,1068.130005,10455.0,2700.169922
2010-02-11,21076.400391,3616.75,5503.930176,1078.469971,10281.700195,2680.25
2010-02-12,21035.900391,3599.070068,5500.390136999999,1075.51001,10224.900391,2674.459961
2010-02-15,21122.5,3609.219971,5511.100098,1075.51001,10293.599609,2683.830078
2010-02-16,21289.199219,3669.040039,5592.120117,1094.869995,10393.900391,2720.77002
2010-02-17,21650.800781,3725.209961,5648.339844,1099.51001,10498.599609,2762.25
2010-02-18,21686.099609,3747.830078,5680.410156,1106.75,10574.200195,2778.300049
2010-02-19,21772.300781,3769.540039,5722.049805,1109.170044,10676.700195,2793.3701170000004
2010-02-22,21704.800781,3756.6999509999996,5688.439941,1108.01001,10570.5,2778.1201170000004
2010-02-23,21224.099609,3707.0600590000004,5604.069824,1094.599976,10312.900391,2730.570068
2010-02-24,21346.300781,3715.679932,5615.509765999999,1105.23999,10254.0,2734.949951
2010-02-25,20843.199219,3640.7700200000004,5532.330078,1102.939941,10126.200195,2684.419922
2010-02-26,21068.300781,3708.8000490000004,5598.459961,1104.48999,10333.599609,2728.469971
2010-03-01,21320.800781,3769.540039,5713.509765999999,1115.709961,10434.900391,2772.699951
2010-03-02,21326.300781,3811.919922,5776.560059,1118.310059,10521.5,2784.0
2010-03-03,21745.099609,3842.5200200000004,5817.879883,1118.790039,10664.5,2822.590088
2010-03-04,21844.599609,3828.4099119999996,5795.319824,1122.969971,10745.299805,2816.100098
