Date,ON,3M,6M,12M
15/12/2011,0.58000,1.06131,1.35188,1.84306
16/12/2011,0.58000,1.06475,1.35531,1.84650
19/12/2011,0.58000,1.06519,1.35713,1.84956
20/12/2011,0.58000,1.06988,1.36306,1.85425
21/12/2011,0.58000,1.07175,1.36619,1.85863
22/12/2011,0.58000,1.07481,1.37063,1.86419
23/12/2011,0.58000,1.07725,1.37294,1.86663
28/12/2011,0.58000,1.07781,1.37350,1.86844
29/12/2011,0.58000,1.07869,1.37438,1.86931
30/12/2011,0.58313,1.08006,1.37575,1.87069
03/01/2012,0.58000,1.08406,1.37875,1.87469
04/01/2012,0.58000,1.08525,1.38094,1.87713
05/01/2012,0.58000,1.08584,1.38278,1.87772
06/01/2012,0.58000,1.08644,1.38338,1.87956
09/01/2012,0.57875,1.08706,1.38525,1.88144
10/01/2012,0.57625,1.08863,1.38681,1.88300
11/01/2012,0.57500,1.08894,1.38713,1.88331
12/01/2012,0.57500,1.08956,1.38838,1.88456
13/01/2012,0.57500,1.08956,1.38838,1.88456
16/01/2012,0.57500,1.08956,1.38838,1.88456
17/01/2012,0.57500,1.08956,1.38838,1.88456
18/01/2012,0.57500,1.08956,1.39063,1.88581
19/01/2012,0.57500,1.08956,1.39188,1.88956
20/01/2012,0.57500,1.08956,1.39313,1.89081
23/01/2012,0.57500,1.08956,1.39313,1.89206
24/01/2012,0.57500,1.08956,1.39438,1.89363
25/01/2012,0.57500,1.08706,1.39563,1.89675
26/01/2012,0.57469,1.08613,1.39531,1.89519
27/01/2012,0.57469,1.08456,1.39375,1.89363
30/01/2012,0.57438,1.08300,1.39344,1.89331
31/01/2012,0.57438,1.08300,1.39344,1.89331
01/02/2012,0.57313,1.08175,1.39344,1.89331
02/02/2012,0.57156,1.08019,1.39313,1.89300
03/02/2012,0.57125,1.07738,1.39181,1.89269
06/02/2012,0.56750,1.07706,1.39150,1.89238
07/02/2012,0.56500,1.07706,1.39150,1.89238
08/02/2012,0.56375,1.07706,1.39150,1.89238
09/02/2012,0.56250,1.07706,1.39150,1.89238
10/02/2012,0.56250,1.07706,1.39150,1.89238
13/02/2012,0.56500,1.07706,1.39150,1.89238
14/02/2012,0.56250,1.07706,1.39150,1.89238
15/02/2012,0.56250,1.07581,1.39025,1.89113
16/02/2012,0.56094,1.07425,1.38900,1.88988
17/02/2012,0.56094,1.07300,1.38775,1.88863
20/02/2012,0.55969,1.07081,1.38681,1.88894
21/02/2012,0.55938,1.06925,1.38650,1.88894
22/02/2012,0.55906,1.06644,1.38619,1.88863
23/02/2012,0.55875,1.06613,1.38463,1.88706
24/02/2012,0.55875,1.06488,1.38213,1.88581
27/02/2012,0.55875,1.06238,1.38088,1.88456
28/02/2012,0.55875,1.06088,1.37938,1.88306
29/02/2012,0.55875,1.05963,1.37938,1.88306
01/03/2012,0.55688,1.05525,1.37625,1.88244
02/03/2012,0.55688,1.04744,1.37219,1.87963
05/03/2012,0.55656,1.04588,1.36813,1.87556
06/03/2012,0.55656,1.04338,1.36563,1.87431
07/03/2012,0.55656,1.04088,1.36563,1.87306
08/03/2012,0.55656,1.04088,1.36313,1.87056
09/03/2012,0.55656,1.04088,1.36188,1.87056
12/03/2012,0.55594,1.03963,1.36063,1.87056
