Date,EUR/USD,JPY/USD,GBP/USD
17/08/2015,1.10809,0.00803987,1.559
18/08/2015,1.1033,0.00804117,1.566
19/08/2015,1.1127,0.00808048,1.5689
20/08/2015,1.12022,0.00809742,1.5686
21/08/2015,1.136,0.00818551,1.5694
24/08/2015,1.158,0.00841219,1.57591
25/08/2015,1.1467,0.00838447,1.56897
26/08/2015,1.13232,0.00834724,1.547
27/08/2015,1.12626,0.00827752,1.54247
28/08/2015,1.11831,0.00823770,1.5398
31/08/2015,1.1229,0.00825198,1.53506
01/09/2015,1.1298,0.00834933,1.5304
02/09/2015,1.1222,0.00831676,1.5302
03/09/2015,1.1123,0.00833930,1.5258
04/09/2015,1.1138,0.00840067,1.51834
07/09/2015,1.1169,0.00837801,1.5283
08/09/2015,1.1205,0.00834195,1.54
09/09/2015,1.1202,0.00829483,1.5369
10/09/2015,1.1283,0.00829662,1.54505
11/09/2015,1.1336,0.00829393,1.5424
14/09/2015,1.13132,0.00832320,1.54245
15/09/2015,1.1267,0.00830254,1.53414
16/09/2015,1.1278,0.00829091,1.5487
17/09/2015,1.142,0.00833541,1.5608
18/09/2015,1.1301,0.00833750,1.5528
21/09/2015,1.1194,0.00829971,1.5505
22/09/2015,1.113,0.00832868,1.53726
23/09/2015,1.1182,0.00831711,1.52442
24/09/2015,1.1225,0.00833541,1.5235
25/09/2015,1.11968,0.00829221,1.51917
28/09/2015,1.1234,0.00834501,1.5168
29/09/2015,1.12619,0.00836344,1.5159
30/09/2015,1.1165,0.00833708,1.5122
01/10/2015,1.11844,0.00834167,1.5128
02/10/2015,1.12038,0.00833048,1.518
05/10/2015,1.1184,0.00830082,1.5151
06/10/2015,1.12685,0.00831510,1.52335
07/10/2015,1.1247,0.00833819,1.532
08/10/2015,1.1274,0.00833958,1.5351
09/10/2015,1.13551,0.00831669,1.5316
12/10/2015,1.13654,0.00833437,1.5341
13/10/2015,1.13862,0.00835296,1.5256
14/10/2015,1.1485,0.00841701,1.54899
15/10/2015,1.13771,0.00840979,1.5481
16/10/2015,1.13564,0.00837002,1.5444
19/10/2015,1.13229,0.00836897,1.54636
20/10/2015,1.13448,0.00834237,1.54462
21/10/2015,1.134,0.00833680,1.5423
22/10/2015,1.11169,0.00828706,1.53957
23/10/2015,1.0998,0.00823519,1.5311
26/10/2015,1.105,0.00826514,1.53525
27/10/2015,1.10384,0.00830840,1.53019
